time,x,y
8.650000000000e0,7.144653486338e0,1.028236904656e0
8.700000000000e0,7.393733063767e0,1.045179906414e0
8.750000000000e0,7.648781276946e0,1.063741995723e0
8.800000000000e0,7.909555368302e0,1.084030882131e0
8.850000000000e0,8.175752837494e0,1.106163226942e0
8.900000000000e0,8.447004754574e0,1.130265262801e0
8.950000000000e0,8.722868627418e0,1.156473417221e0
9.000000000000e0,9.002820852257e0,1.184934926955e0
9.050000000000e0,9.286248796090e0,1.215808425931e0
9.100000000000e0,9.572442584877e0,1.249264484439e0
9.150000000000e0,9.860586702512e0,1.285486071208e0
9.200000000000e0,1.014975154348e1,1.324668902853e0
9.250000000000e0,1.043888510767e1,1.367021636867e0
9.300000000000e0,1.072680507943e1,1.412765854817e0
9.350000000000e0,1.101219159532e1,1.462135771764e0
9.400000000000e0,1.129358107551e1,1.515377596342e0
9.450000000000e0,1.156936157150e1,1.572748453787e0
9.500000000000e0,1.183777016660e1,1.634514772029e0
9.550000000000e0,1.209689305023e1,1.700950019725e0
9.600000000000e0,1.234466896990e1,1.772331676022e0
9.650000000000e0,1.257889683560e1,1.848937306614e0
9.700000000000e0,1.279724830251e1,1.931039621515e0
9.750000000000e0,1.299728617544e1,2.018900399478e0
9.800000000000e0,1.317648944718e1,2.112763185349e0
9.850000000000e0,1.333228568631e1,2.212844703008e0
9.900000000000e0,1.346209130833e1,2.319324981173e0
9.950000000000e0,1.356335998182e1,2.432336264854e0
