time,x,v,u
6.720000000000e+00,-1.213390952330e+00,-1.091100832702e+00,-9.999648127104e-01
6.740000000000e+00,-1.235103589226e+00,-1.080101546973e+00,-9.999842582707e-01
6.760000000000e+00,-1.256592570793e+00,-1.068735758390e+00,-9.998077101177e-01
6.780000000000e+00,-1.277850594929e+00,-1.057006284213e+00,-9.994352028542e-01
6.800000000000e+00,-1.298870417173e+00,-1.044916070956e+00,-9.988668094904e-01
6.820000000000e+00,-1.319644853276e+00,-1.032468193204e+00,-9.981026414297e-01
6.840000000000e+00,-1.340166781754e+00,-1.019665852386e+00,-9.971428484464e-01
6.860000000000e+00,-1.360429146406e+00,-1.006512375508e+00,-9.959876186571e-01
6.880000000000e+00,-1.380424958818e+00,-9.930112138325e-01,-9.946371784829e-01
6.900000000000e+00,-1.400147300831e+00,-9.791659415290e-01,-9.930917926059e-01
6.920000000000e+00,-1.419589326990e+00,-9.649802542712e-01,-9.913517639168e-01
6.940000000000e+00,-1.438744266952e+00,-9.504579677996e-01,-9.894174334556e-01
6.960000000000e+00,-1.457605427882e+00,-9.356030164412e-01,-9.872891803448e-01
6.980000000000e+00,-1.476166196800e+00,-9.204194515898e-01,-9.849674217153e-01
7.000000000000e+00,-1.494420042916e+00,-9.049114401471e-01,-9.824526126243e-01
7.020000000000e+00,-1.512360519917e+00,-8.890832629255e-01,-9.797452459664e-01
7.040000000000e+00,-1.529981268232e+00,-8.729393130125e-01,-9.768458523768e-01
7.060000000000e+00,-1.547276017262e+00,-8.564840940995e-01,-9.737550001273e-01
7.080000000000e+00,-1.564238587572e+00,-8.397222187728e-01,-9.704732950151e-01
7.100000000000e+00,-1.580862893055e+00,-8.226584067702e-01,-9.670013802438e-01
7.120000000000e+00,-1.597142943054e+00,-8.052974832021e-01,-9.633399362976e-01
7.140000000000e+00,-1.613072844454e+00,-7.876443767395e-01,-9.594896808080e-01
7.160000000000e+00,-1.628646803731e+00,-7.697041177678e-01,-9.554513684124e-01
7.180000000000e+00,-1.643859128974e+00,-7.514818365088e-01,-9.512257906074e-01
7.200000000000e+00,-1.658704231857e+00,-7.329827611114e-01,-9.468137755926e-01
7.220000000000e+00,-1.673176629579e+00,-7.142122157106e-01,-9.422161881088e-01
7.240000000000e+00,-1.687270946768e+00,-6.951756184573e-01,-9.374339292685e-01
7.260000000000e+00,-1.700981917337e+00,-6.758784795185e-01,-9.324679363791e-01
7.280000000000e+00,-1.714304386304e+00,-6.563263990496e-01,-9.273191827593e-01
7.300000000000e+00,-1.727233311575e+00,-6.365250651388e-01,-9.219886775482e-01
7.320000000000e+00,-1.739763765680e+00,-6.164802517250e-01,-9.164774655080e-01
7.340000000000e+00,-1.751890937467e+00,-5.961978164899e-01,-9.107866268184e-01
7.360000000000e+00,-1.763610133759e+00,-5.756836987254e-01,-9.049172768657e-01
7.380000000000e+00,-1.774916780963e+00,-5.549439171764e-01,-8.988705660237e-01
7.400000000000e+00,-1.785806426634e+00,-5.339845678607e-01,-8.926476794283e-01
7.420000000000e+00,-1.796274741007e+00,-5.128118218671e-01,-8.862498367453e-01
7.440000000000e+00,-1.806317518466e+00,-4.914319231307e-01,-8.796782919315e-01
7.460000000000e+00,-1.815930678987e+00,-4.698511861890e-01,-8.729343329887e-01
7.480000000000e+00,-1.825110269523e+00,-4.480759939174e-01,-8.660192817110e-01
7.500000000000e+00,-1.833852465348e+00,-4.261127952464e-01,-8.589344934266e-01
7.520000000000e+00,-1.842153571356e+00,-4.039681028605e-01,-8.516813567312e-01
7.540000000000e+00,-1.850010023314e+00,-3.816484908807e-01,-8.442612932164e-01
7.560000000000e+00,-1.857418389066e+00,-3.591605925297e-01,-8.366757571908e-01
7.580000000000e+00,-1.864375369691e+00,-3.365110977834e-01,-8.289262353953e-01
7.600000000000e+00,-1.870877800617e+00,-3.137067510069e-01,-8.210142467113e-01
7.620000000000e+00,-1.876922652682e+00,-2.907543485773e-01,-8.129413418632e-01
7.640000000000e+00,-1.882507033152e+00,-2.676607364946e-01,-8.047091031147e-01
7.660000000000e+00,-1.887628186690e+00,-2.444328079803e-01,-7.963191439580e-01
7.680000000000e+00,-1.892283496274e+00,-2.210775010653e-01,-7.877731087984e-01
7.700000000000e+00,-1.896470484073e+00,-1.976017961687e-01,-7.790726726314e-01
7.720000000000e+00,-1.900186812266e+00,-1.740127136668e-01,-7.702195407146e-01
7.740000000000e+00,-1.903430283818e+00,-1.503173114546e-01,-7.612154482336e-01
7.760000000000e+00,-1.906198843210e+00,-1.265226825003e-01,-7.520621599616e-01
7.780000000000e+00,-1.908490577110e+00,-1.026359523931e-01,-7.427614699138e-01
7.800000000000e+00,-1.910303715005e+00,-7.866427688650e-02,-7.333152009957e-01
7.820000000000e+00,-1.911636629775e+00,-5.461483943607e-02,-7.237252046458e-01
7.840000000000e+00,-1.912487838231e+00,-3.049484873490e-02,-7.139933604726e-01
7.860000000000e+00,-1.912856001585e+00,-6.311536245704e-03,-7.041215758866e-01
7.880000000000e+00,-1.912739925887e+00,1.792784626858e-02,-6.941117857257e-01
7.900000000000e+00,-1.912138562406e+00,4.221602921501e-02,-6.839659518769e-01
7.920000000000e+00,-1.911051007959e+00,6.654572764083e-02,-6.736860628912e-01
7.940000000000e+00,-1.909476505194e+00,9.090964370272e-02,-6.632741335938e-01
7.960000000000e+00,-1.907414442827e+00,1.153004691343e-01,-6.527322046895e-01
7.980000000000e+00,-1.904864355822e+00,1.397108877107e-01,-6.420623423628e-01
8.000000000000e+00,-1.901825925525e+00,1.641335777102e-01,-6.312666378724e-01
8.020000000000e+00,-1.898298979752e+00,1.885612143705e-01,-6.203472071418e-01
8.040000000000e+00,-1.894283492826e+00,2.129864723408e-01,-6.093061903446e-01
8.060000000000e+00,-1.889779585559e+00,2.374020281267e-01,-5.981457514846e-01
8.080000000000e+00,-1.884787525198e+00,2.618005625293e-01,-5.868680779722e-01
8.100000000000e+00,-1.879307725306e+00,2.861747630753e-01,-5.754753801953e-01
8.120000000000e+00,-1.873340745613e+00,3.105173264395e-01,-5.639698910861e-01
8.140000000000e+00,-1.866887291800e+00,3.348209608571e-01,-5.523538656837e-01
8.160000000000e+00,-1.859948215250e+00,3.590783885261e-01,-5.406295806919e-01
8.180000000000e+00,-1.852524512741e+00,3.832823479989e-01,-5.287993340330e-01
8.200000000000e+00,-1.844617326098e+00,4.074255965608e-01,-5.168654443975e-01
8.220000000000e+00,-1.836227941793e+00,4.315009125977e-01,-5.048302507895e-01
8.240000000000e+00,-1.827357790497e+00,4.555010979487e-01,-4.926961120685e-01
8.260000000000e+00,-1.818008446595e+00,4.794189802450e-01,-4.804654064868e-01
8.280000000000e+00,-1.808181627637e+00,5.032474152342e-01,-4.681405312236e-01
8.300000000000e+00,-1.797879193762e+00,5.269792890883e-01,-4.557239019149e-01
8.320000000000e+00,-1.787103147059e+00,5.506075206950e-01,-4.432179521803e-01
8.340000000000e+00,-1.775855630894e+00,5.741250639326e-01,-4.306251331460e-01
8.360000000000e+00,-1.764138929189e+00,5.975249099258e-01,-4.179479129641e-01
8.380000000000e+00,-1.751955465648e+00,6.208000892839e-01,-4.051887763293e-01
8.400000000000e+00,-1.739307802954e+00,6.439436743180e-01,-3.923502239915e-01
8.420000000000e+00,-1.726198641906e+00,6.669487812400e-01,-3.794347722658e-01
8.440000000000e+00,-1.712630820521e+00,6.898085723390e-01,-3.664449525395e-01
8.460000000000e+00,-1.698607313093e+00,7.125162581372e-01,-3.533833107755e-01
8.480000000000e+00,-1.684131229204e+00,7.350650995231e-01,-3.402524070139e-01
8.500000000000e+00,-1.669205812699e+00,7.574484098622e-01,-3.270548148698e-01
8.520000000000e+00,-1.653834440612e+00,7.796595570840e-01,-3.137931210290e-01
8.540000000000e+00,-1.638020622056e+00,8.016919657446e-01,-3.004699247410e-01
8.560000000000e+00,-1.621767997069e+00,8.235391190648e-01,-2.870878373097e-01
8.580000000000e+00,-1.605080335421e+00,8.451945609430e-01,-2.736494815813e-01
8.600000000000e+00,-1.587961535383e+00,8.666518979414e-01,-2.601574914305e-01
8.620000000000e+00,-1.570415622449e+00,8.879048012465e-01,-2.466145112443e-01
8.640000000000e+00,-1.552446748027e+00,9.089470086014e-01,-2.330231954034e-01
8.660000000000e+00,-1.534059188092e+00,9.297723262114e-01,-2.193862077621e-01
8.680000000000e+00,-1.515257341790e+00,9.503746306205e-01,-2.057062211265e-01
8.700000000000e+00,-1.496045730021e+00,9.707478705594e-01,-1.919859167300e-01
8.720000000000e+00,-1.476428993971e+00,9.908860687639e-01,-1.782279837085e-01
8.740000000000e+00,-1.456411893618e+00,1.010783323764e+00,-1.644351185727e-01
8.760000000000e+00,-1.435999306195e+00,1.030433811642e+00,-1.506100246801e-01
8.780000000000e+00,-1.415196224625e+00,1.049831787758e+00,-1.367554117048e-01
8.800000000000e+00,-1.394007755916e+00,1.068971588451e+00,-1.228739951066e-01
8.820000000000e+00,-1.372439119526e+00,1.087847632697e+00,-1.089684955987e-01
8.840000000000e+00,-1.350495645693e+00,1.106454423744e+00,-9.504163861457e-02
